chi-0_fa,chi-1_fa,chi-2_fa,chi-3_fa,chi-4_fa,chi-5_fa,Z-0_fa,Z-1_fa,Z-2_fa,Z-3_fa,Z-4_fa,Z-5_fa,I-0_fa,I-1_fa,I-2_fa,I-3_fa,I-4_fa,I-5_fa,T-0_fa,T-1_fa,T-2_fa,T-3_fa,T-4_fa,T-5_fa,S-0_fa,S-1_fa,S-2_fa,S-3_fa,S-4_fa,S-5_fa,chi-0_ma,chi-1_ma,chi-2_ma,chi-3_ma,chi-4_ma,chi-5_ma,Z-0_ma,Z-1_ma,Z-2_ma,Z-3_ma,Z-4_ma,Z-5_ma,I-0_ma,I-1_ma,I-2_ma,I-3_ma,I-4_ma,I-5_ma,T-0_ma,T-1_ma,T-2_ma,T-3_ma,T-4_ma,T-5_ma,S-0_ma,S-1_ma,S-2_ma,S-3_ma,S-4_ma,S-5_ma,chi-0_md,chi-1_md,chi-2_md,chi-3_md,chi-4_md,chi-5_md,Z-0_md,Z-1_md,Z-2_md,Z-3_md,Z-4_md,Z-5_md,I-0_md,I-1_md,I-2_md,I-3_md,I-4_md,I-5_md,T-0_md,T-1_md,T-2_md,T-3_md,T-4_md,T-5_md,S-0_md,S-1_md,S-2_md,S-3_md,S-4_md,S-5_md,distance,barrier,smiles,filename
298.7363,655.258,1113.1012,1505.0208,1800.0446,2310.9502,7401.0,9566.0,10994.0,14132.0,14020.0,11492.0,50.0,106.0,182.0,256.0,302.0,378.0,288.0,754.0,1158.0,1422.0,1648.0,1884.0,21.7248,56.1386,89.516,116.5136,138.4192,159.2632,298.7363,655.258,1113.1012,1505.0208,1800.0446,2310.9502,7401.0,9566.0,10994.0,14132.0,14020.0,11492.0,50.0,106.0,182.0,256.0,302.0,378.0,288.0,754.0,1158.0,1422.0,1648.0,1884.0,21.7248,56.1386,89.516,116.5136,138.4192,159.2632,298.7363,655.258,1113.1012,1505.0208,1800.0446,2310.9502,7401.0,9566.0,10994.0,14132.0,14020.0,11492.0,50.0,106.0,182.0,256.0,302.0,378.0,288.0,754.0,1158.0,1422.0,1648.0,1884.0,21.7248,56.1386,89.516,116.5136,138.4192,159.2632,0.8849,7.8,[Ir]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([N+]1=COCC1)(C#[O+])(S)[H],ir_tbp_1_dft-pph3_1_dft-oxaz_1_dft-co_1_dft-sh_1_smi1_1_s_1
169.8603,348.075,609.9222,854.4818,1198.6466,782.0942,7511.0,10336.0,9134.0,6842.0,3192.0,1380.0,28.0,56.0,102.0,140.0,202.0,128.0,158.0,410.0,634.0,708.0,586.0,404.0,11.7356,30.9472,49.3286,59.2608,57.7374,37.554,169.8603,348.075,609.9222,854.4818,1198.6466,782.0942,7511.0,10336.0,9134.0,6842.0,3192.0,1380.0,28.0,56.0,102.0,140.0,202.0,128.0,158.0,410.0,634.0,708.0,586.0,404.0,11.7356,30.9472,49.3286,59.2608,57.7374,37.554,169.8603,348.075,609.9222,854.4818,1198.6466,782.0942,7511.0,10336.0,9134.0,6842.0,3192.0,1380.0,28.0,56.0,102.0,140.0,202.0,128.0,158.0,410.0,634.0,708.0,586.0,404.0,11.7356,30.9472,49.3286,59.2608,57.7374,37.554,0.9873,17.9,[Ir]([As+](C)(C)C)(n1ccnc1)(C#[O+])(O)[H],ir_tbp_1_dft-asme3_1_dft-iz_1_dft-co_1_dft-oh_1_smi1_1_s_1
251.9879,531.356,943.6532,1272.6976,1818.5864,2257.071,6845.0,7024.0,9904.0,11214.0,7290.0,4122.0,44.0,88.0,164.0,220.0,312.0,392.0,252.0,646.0,966.0,1296.0,1478.0,1346.0,16.3815,42.8032,68.8334,93.1894,116.1466,114.6152,251.9879,531.356,943.6532,1272.6976,1818.5864,2257.071,6845.0,7024.0,9904.0,11214.0,7290.0,4122.0,44.0,88.0,164.0,220.0,312.0,392.0,252.0,646.0,966.0,1296.0,1478.0,1346.0,16.3815,42.8032,68.8334,93.1894,116.1466,114.6152,251.9879,531.356,943.6532,1272.6976,1818.5864,2257.071,6845.0,7024.0,9904.0,11214.0,7290.0,4122.0,44.0,88.0,164.0,220.0,312.0,392.0,252.0,646.0,966.0,1296.0,1478.0,1346.0,16.3815,42.8032,68.8334,93.1894,116.1466,114.6152,0.8826,8.2,[Ir]([P+](CC)(CC)CC)([C-]1N(C)C=CN(C)1)(C#[O+])(C#C[H])[H],ir_tbp_1_dft-pet3_1_dft-ime_1_dft-co_1_dft-cch_1_smi1_1_s_1
222.9497,461.5274,833.7516,1113.6136,1634.0426,1522.644,6659.0,5510.0,10516.0,8116.0,5214.0,3120.0,35.0,70.0,130.0,172.0,262.0,226.0,200.0,512.0,786.0,982.0,964.0,802.0,13.5259,33.925,55.475,74.8328,85.9474,72.9858,222.9497,461.5274,833.7516,1113.6136,1634.0426,1522.644,6659.0,5510.0,10516.0,8116.0,5214.0,3120.0,35.0,70.0,130.0,172.0,262.0,226.0,200.0,512.0,786.0,982.0,964.0,802.0,13.5259,33.925,55.475,74.8328,85.9474,72.9858,222.9497,461.5274,833.7516,1113.6136,1634.0426,1522.644,6659.0,5510.0,10516.0,8116.0,5214.0,3120.0,35.0,70.0,130.0,172.0,262.0,226.0,200.0,512.0,786.0,982.0,964.0,802.0,13.5259,33.925,55.475,74.8328,85.9474,72.9858,0.9545,7.7,[Ir]([C-]1N(C)C=CN(C)1)([N+](C)(C)C)(C#[O+])([N+](=O)([O-]))[H],ir_tbp_1_dft-ime_1_dft-nme3_1_dft-co_1_dft-no2_1_smi1_1_s_1
217.8093,457.609,877.2636,1104.5508,1594.8674,1341.0,6551.0,5620.0,7918.0,7826.0,4392.0,2198.0,36.0,72.0,138.0,176.0,266.0,212.0,210.0,534.0,814.0,988.0,942.0,860.0,12.842,33.3508,53.6178,72.0308,79.0642,62.5984,217.8093,457.609,877.2636,1104.5508,1594.8674,1341.0,6551.0,5620.0,7918.0,7826.0,4392.0,2198.0,36.0,72.0,138.0,176.0,266.0,212.0,210.0,534.0,814.0,988.0,942.0,860.0,12.842,33.3508,53.6178,72.0308,79.0642,62.5984,217.8093,457.609,877.2636,1104.5508,1594.8674,1341.0,6551.0,5620.0,7918.0,7826.0,4392.0,2198.0,36.0,72.0,138.0,176.0,266.0,212.0,210.0,534.0,814.0,988.0,942.0,860.0,12.842,33.3508,53.6178,72.0308,79.0642,62.5984,0.9862,16.8,[Ir]([N+](C)(C)C)([C-]1N(C)CCN(C)1)(C#[N+][H])(F)[H],ir_tbp_1_dft-nme3_1_dft-sime_1_dft-hicn_1_fluoride_1_smi1_1_s_1
221.0907,471.935,818.6306,1003.1164,1254.0926,1431.2708,6699.0,5660.0,8174.0,9806.0,6304.0,3428.0,35.0,72.0,126.0,158.0,202.0,228.0,198.0,498.0,736.0,904.0,936.0,836.0,14.4971,36.4172,55.3998,69.8058,79.7926,75.6884,221.0907,471.935,818.6306,1003.1164,1254.0926,1431.2708,6699.0,5660.0,8174.0,9806.0,6304.0,3428.0,35.0,72.0,126.0,158.0,202.0,228.0,198.0,498.0,736.0,904.0,936.0,836.0,14.4971,36.4172,55.3998,69.8058,79.7926,75.6884,221.0907,471.935,818.6306,1003.1164,1254.0926,1431.2708,6699.0,5660.0,8174.0,9806.0,6304.0,3428.0,35.0,72.0,126.0,158.0,202.0,228.0,198.0,498.0,736.0,904.0,936.0,836.0,14.4971,36.4172,55.3998,69.8058,79.7926,75.6884,0.9971,17.0,[Ir]([n+]1ccncc1)([C-]1N(C)CCN(C)1)(C#[N+][H])(N=C=O)[H],ir_tbp_1_dft-pyz_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1
209.11,449.62,789.3422,982.3168,1172.4754,1324.2620000000004,6637.0,5408.0,8176.0,8548.0,5970.0,2942.0,34.0,70.0,124.0,156.0,194.0,218.0,194.0,490.0,722.0,876.0,890.0,758.0,13.965,35.3626,54.3564,67.8508,75.9858,70.1186,209.11,449.62,789.3422,982.3168,1172.4754,1324.2620000000004,6637.0,5408.0,8176.0,8548.0,5970.0,2942.0,34.0,70.0,124.0,156.0,194.0,218.0,194.0,490.0,722.0,876.0,890.0,758.0,13.965,35.3626,54.3564,67.8508,75.9858,70.1186,209.11,449.62,789.3422,982.3168,1172.4754,1324.2620000000004,6637.0,5408.0,8176.0,8548.0,5970.0,2942.0,34.0,70.0,124.0,156.0,194.0,218.0,194.0,490.0,722.0,876.0,890.0,758.0,13.965,35.3626,54.3564,67.8508,75.9858,70.1186,0.9405,14.3,[Ir]([n+]1ccncc1)([C-]1N(C)CCN(C)1)(C#[O+])(C#C[H])[H],ir_tbp_1_dft-pyz_1_dft-sime_1_dft-co_1_dft-cch_1_smi1_1_s_1
173.4338,360.67,571.635,781.1546,865.7428,827.3264,7191.0,8564.0,9084.0,10196.0,6500.0,3724.0,29.0,60.0,98.0,134.0,146.0,134.0,158.0,402.0,584.0,660.0,598.0,502.0,14.8806,36.5514,54.8902,65.6648,65.2542,56.438,173.4338,360.67,571.635,781.1546,865.7428,827.3264,7191.0,8564.0,9084.0,10196.0,6500.0,3724.0,29.0,60.0,98.0,134.0,146.0,134.0,158.0,402.0,584.0,660.0,598.0,502.0,14.8806,36.5514,54.8902,65.6648,65.2542,56.438,173.4338,360.67,571.635,781.1546,865.7428,827.3264,7191.0,8564.0,9084.0,10196.0,6500.0,3724.0,29.0,60.0,98.0,134.0,146.0,134.0,158.0,402.0,584.0,660.0,598.0,502.0,14.8806,36.5514,54.8902,65.6648,65.2542,56.438,0.8458,6.6,[Ir]([p+]1ccccc1)([p+]1ccccc1)(C#[O+])(N=C=S)[H],ir_tbp_1_dft-phos_1_dft-phos_1_dft-co_1_dft-itcn_1_smi1_1_s_1
234.1969,509.559,897.4848,1069.0412,1303.5088,1558.9262,6917.0,5850.0,8390.0,11854.0,7160.0,4516.0,39.0,80.0,142.0,172.0,214.0,254.0,222.0,552.0,794.0,972.0,1040.0,1000.0,16.0386,39.8046,60.168,75.1526,87.6462,87.9156,234.1969,509.559,897.4848,1069.0412,1303.5088,1558.9262,6917.0,5850.0,8390.0,11854.0,7160.0,4516.0,39.0,80.0,142.0,172.0,214.0,254.0,222.0,552.0,794.0,972.0,1040.0,1000.0,16.0386,39.8046,60.168,75.1526,87.6462,87.9156,234.1969,509.559,897.4848,1069.0412,1303.5088,1558.9262,6917.0,5850.0,8390.0,11854.0,7160.0,4516.0,39.0,80.0,142.0,172.0,214.0,254.0,222.0,552.0,794.0,972.0,1040.0,1000.0,16.0386,39.8046,60.168,75.1526,87.6462,87.9156,0.9885,15.2,[Ir]([n+]1ccccc1)([C-]1N(C)CCN(C)1)(C#[N+]C)(N=C=S)[H],ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1
213.1731,441.7364,770.3958,1024.8334,1441.4114,1346.516,6807.0,7040.0,10510.0,8102.0,5340.0,3004.0,35.0,70.0,126.0,168.0,242.0,206.0,196.0,496.0,740.0,908.0,878.0,776.0,14.147,35.7976,57.2058,75.4426,81.2496,69.8024,213.1731,441.7364,770.3958,1024.8334,1441.4114,1346.516,6807.0,7040.0,10510.0,8102.0,5340.0,3004.0,35.0,70.0,126.0,168.0,242.0,206.0,196.0,496.0,740.0,908.0,878.0,776.0,14.147,35.7976,57.2058,75.4426,81.2496,69.8024,213.1731,441.7364,770.3958,1024.8334,1441.4114,1346.516,6807.0,7040.0,10510.0,8102.0,5340.0,3004.0,35.0,70.0,126.0,168.0,242.0,206.0,196.0,496.0,740.0,908.0,878.0,776.0,14.147,35.7976,57.2058,75.4426,81.2496,69.8024,0.9917,9.6,[Ir]([N+](C)(C)C)([p+]1ccccc1)(C#[N+]C)([N+](=O)([O-]))[H],ir_tbp_1_dft-nme3_1_dft-phos_1_dft-iacn_1_dft-no2_1_smi1_1_s_1
324.548,692.539,1186.9296,1650.118,2268.495,2562.396,8229.0,13372.0,13186.0,14954.0,15714.0,13536.0,56.0,116.0,204.0,280.0,386.0,420.0,320.0,822.0,1258.0,1616.0,1874.0,2256.0,23.0011,60.8152,97.4092,128.2472,156.3248,177.5616,324.548,692.539,1186.9296,1650.118,2268.495,2562.396,8229.0,13372.0,13186.0,14954.0,15714.0,13536.0,56.0,116.0,204.0,280.0,386.0,420.0,320.0,822.0,1258.0,1616.0,1874.0,2256.0,23.0011,60.8152,97.4092,128.2472,156.3248,177.5616,324.548,692.539,1186.9296,1650.118,2268.495,2562.396,8229.0,13372.0,13186.0,14954.0,15714.0,13536.0,56.0,116.0,204.0,280.0,386.0,420.0,320.0,822.0,1258.0,1616.0,1874.0,2256.0,23.0011,60.8152,97.4092,128.2472,156.3248,177.5616,0.9908,14.2,[Ir]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([As+](C)(C)C)(C#[N+]C)(F)[H],ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_fluoride_1_smi1_1_s_1
219.8666,464.081,821.4076,1040.2212,1591.1176,1425.8536,6617.0,5468.0,8818.0,9060.0,4700.0,3094.0,36.0,72.0,130.0,168.0,266.0,224.0,202.0,510.0,782.0,984.0,998.0,912.0,13.7524,34.6,54.2382,74.2816,85.7026,74.4432,219.8666,464.081,821.4076,1040.2212,1591.1176,1425.8536,6617.0,5468.0,8818.0,9060.0,4700.0,3094.0,36.0,72.0,130.0,168.0,266.0,224.0,202.0,510.0,782.0,984.0,998.0,912.0,13.7524,34.6,54.2382,74.2816,85.7026,74.4432,219.8666,464.081,821.4076,1040.2212,1591.1176,1425.8536,6617.0,5468.0,8818.0,9060.0,4700.0,3094.0,36.0,72.0,130.0,168.0,266.0,224.0,202.0,510.0,782.0,984.0,998.0,912.0,13.7524,34.6,54.2382,74.2816,85.7026,74.4432,0.9618,18.1,[Ir]([C-]1N(C)C=CN(C)1)([N+](C)(C)C)(C#[N+][H])(N=C=O)[H],ir_tbp_1_dft-ime_1_dft-nme3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1
183.3002,377.432,618.2808,777.257,871.7624,876.284,6671.0,5644.0,7732.0,7856.0,5444.0,2732.0,27.0,56.0,90.0,118.0,134.0,130.0,146.0,366.0,528.0,608.0,558.0,450.0,12.9163,31.2336,45.7006,55.7346,56.8574,50.117,183.3002,377.432,618.2808,777.257,871.7624,876.284,6671.0,5644.0,7732.0,7856.0,5444.0,2732.0,27.0,56.0,90.0,118.0,134.0,130.0,146.0,366.0,528.0,608.0,558.0,450.0,12.9163,31.2336,45.7006,55.7346,56.8574,50.117,183.3002,377.432,618.2808,777.257,871.7624,876.284,6671.0,5644.0,7732.0,7856.0,5444.0,2732.0,27.0,56.0,90.0,118.0,134.0,130.0,146.0,366.0,528.0,608.0,558.0,450.0,12.9163,31.2336,45.7006,55.7346,56.8574,50.117,0.9822,22.0,[Ir]([n+]1ccncc1)([n+]1ccncc1)(C#[O+])(N=C=O)[H],ir_tbp_1_dft-pyz_1_dft-pyz_1_dft-co_1_dft-icn_1_smi1_1_s_1
